Player,Destination Club,Pos,Age,Transfer Fee (EUR),MP,Min,Gls,Ast,G_A,G_A_per90,xG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90
Ibrahim SangaréI. Sangaré,Nottingham Forest,MF,25.0,3500000000.0,17.0,1035.0,0.0,0.0,0.0,0.0,0.05217391304347826,0.034782608695652174,0.43478260869565216,3.8260869565217392,0.6086956521739131
Anthony ElangaA. Elanga,Nottingham Forest,FW,21.0,1750000000.0,36.0,2433.0,5.0,9.0,14.0,0.5178791615289765,0.24414303329223178,0.24784217016029592,3.625154130702836,1.812577065351418,7.250308261405672
Chris WoodC. Wood,Nottingham Forest,FW,31.0,1700000000.0,31.0,1812.0,14.0,1.0,15.0,0.7450331125827815,0.5910596026490067,0.10430463576158941,0.794701986754967,1.490066225165563,3.774834437086093
Andrew OmobamideleA. Omobamidele,Nottingham Forest,DF,21.0,1285000000.0,11.0,783.0,0.0,0.0,0.0,0.0,0.01149425287356322,0.01149425287356322,0.1149425287356322,0.9195402298850576,0.0
Nicolás DomínguezN. Domínguez,Nottingham Forest,MF,25.0,665000000.0,26.0,1495.0,2.0,2.0,4.0,0.2408026755852843,0.0782608695652174,0.06020066889632107,0.842809364548495,5.478260869565218,2.588628762541806
Callum Hudson-OdoiC. Hudson-Odoi,Nottingham Forest,FW,22.0,350000000.0,29.0,1854.0,8.0,1.0,9.0,0.4368932038834951,0.13106796116504854,0.13592233009708737,5.388349514563107,2.815533980582524,8.398058252427184
Ola AinaOla Aina,Nottingham Forest,DF,26.0,0.0,22.0,1692.0,1.0,1.0,2.0,0.10638297872340426,0.015957446808510637,0.047872340425531915,2.7659574468085104,3.6702127659574466,1.9680851063829787
Cameron ArcherC. Archer,Sheffield United,FW,22.0,2155000000.0,29.0,1832.0,4.0,1.0,5.0,0.24563318777292578,0.2701965065502184,0.13755458515283842,1.6211790393013101,0.7368995633187774,5.600436681222708
Gustavo HamerG. Hamer,Sheffield United,MF,26.0,1730000000.0,36.0,2910.0,4.0,6.0,10.0,0.3092783505154639,0.09278350515463916,0.18865979381443296,1.11340206185567,4.175257731958762,2.6597938144329896
Vini SouzaV. Souza,Sheffield United,MF,24.0,1250000000.0,36.0,2668.0,1.0,0.0,1.0,0.03373313343328336,0.020239880059970013,0.006746626686656672,0.2698650674662669,2.2263868065967016,0.7083958020989505
Auston TrustyA. Trusty,Sheffield United,DF,24.0,580000000.0,32.0,2572.0,0.0,0.0,0.0,0.0,0.013996889580093312,0.038491446345256614,0.3499222395023328,1.3996889580093312,0.5248833592534992
